Time,T1 Type: Temperature,H1 Type: Humidity,S1 Type: Sound,P1 Type: Pressure,P2 Type: Pressure,T2 Type: Temperature,L1 Type: Light,L2 Type: Light,T3 Type: Temperature
Aug 13 14:29:54 2024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Aug 13 14:29:55 2024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Aug 13 14:29:56 2024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Aug 13 14:29:57 2024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Aug 13 14:29:58 2024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Aug 13 14:29:59 2024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Aug 13 14:30:00 2024,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Aug 13 14:30:01 2024,1.000,2.000,2.320,0.000,0.000,0.000,0.000,0.000,0.000
Aug 13 14:30:02 2024,1.000,2.000,2.320,4.300,45.000,0.000,0.000,0.000,0.000
Aug 13 14:30:03 2024,1.000,2.000,2.320,4.300,45.000,32.000,21.000,0.001,0.000
Aug 13 14:30:04 2024,1.000,2.000,2.320,4.300,45.000,32.000,21.000,0.001,0.100
Aug 13 14:30:05 2024,1.000,2.000,2.320,4.300,45.000,32.000,21.000,0.001,0.100
Aug 13 14:30:06 2024,1.000,2.000,2.320,4.300,45.000,32.000,21.000,0.001,0.100
Aug 13 14:30:07 2024,1.000,2.000,2.320,4.300,45.000,32.000,21.000,0.001,0.100
Aug 13 14:30:08 2024,1.000,2.000,2.320,4.300,45.000,32.000,21.000,0.001,0.100
Aug 13 14:30:09 2024,1.000,2.000,2.320,4.300,45.000,32.000,21.000,0.001,0.100
Aug 13 14:30:10 2024,1.000,2.000,2.320,4.300,45.000,32.000,21.000,0.001,0.100
Aug 13 14:30:11 2024,1.000,2.000,2.320,4.300,45.000,32.000,21.000,0.001,0.100
Aug 13 14:30:12 2024,1.000,2.000,2.320,4.300,45.000,32.000,21.000,0.001,0.100
Aug 13 14:30:13 2024,1.000,2.000,2.320,4.300,45.000,32.000,21.000,0.001,0.100
Aug 13 14:30:14 2024,1.000,2.000,2.320,4.300,45.000,32.000,21.000,0.001,0.100
Aug 13 14:30:15 2024,1.000,2.000,2.320,4.300,45.000,32.000,21.000,0.001,0.100
Aug 13 14:30:16 2024,1.000,2.000,2.320,4.300,45.000,32.000,21.000,0.001,0.100
Aug 13 14:30:17 2024,1.000,2.000,2.320,4.300,45.000,32.000,21.000,0.001,0.100
Aug 13 14:30:18 2024,1.000,2.000,2.320,4.300,45.000,32.000,21.000,0.001,0.100
Aug 13 14:30:19 2024,1.000,2.000,2.320,4.300,45.000,32.000,21.000,0.001,0.100
