Time,T1 Type: Temperature,H1 Type: Humidity,S1 Type: Sound,P1 Type: Pressure,P2 Type: Pressure,T2 Type: Temperature,L1 Type: Light,L2 Type: Light,T3 Type: Temperature
Aug 10 12:09:41 2024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Aug 10 12:09:42 2024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Aug 10 12:09:43 2024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Aug 10 12:09:44 2024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Aug 10 12:09:50 2024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Aug 10 12:09:51 2024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Aug 10 12:09:52 2024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Aug 10 12:09:53 2024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Aug 10 12:09:54 2024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Aug 10 12:09:55 2024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Aug 10 12:09:56 2024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Aug 10 12:09:58 2024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
