Time,T1 Type: Temperature,H1 Type: Humidity,S1 Type: Sound,P1 Type: Pressure,P2 Type: Pressure,T2 Type: Temperature,L1 Type: Light,L2 Type: Light,T3 Type: Temperature
Aug 09 17:56:12 2024,1.152,3.762,-0.169,5.915,46.178,28.361,20.488,3.073,2.110
Aug 09 17:56:13 2024,1.152,3.762,-0.169,5.915,46.178,28.361,20.488,3.073,2.110
Aug 09 17:56:14 2024,1.152,3.762,-0.169,5.915,46.178,28.361,20.488,3.073,2.110
Aug 09 17:56:15 2024,1.152,3.762,-0.169,5.915,46.178,28.361,20.488,3.073,2.110
Aug 09 17:56:16 2024,2.683,6.084,-0.181,2.740,45.083,27.389,20.271,3.175,1.337
Aug 09 17:56:17 2024,2.521,6.320,-0.040,2.932,45.168,27.490,20.255,3.320,1.092
Aug 09 17:56:18 2024,2.621,6.493,0.319,2.812,45.272,27.755,20.215,3.490,1.031
Aug 09 17:56:19 2024,2.955,6.259,0.148,2.981,45.079,27.486,20.475,3.446,1.031
Aug 09 17:56:20 2024,3.281,6.220,0.373,2.981,45.079,27.486,20.475,3.446,1.031
Aug 09 17:56:21 2024,3.258,6.165,0.477,2.907,45.325,27.284,20.911,3.444,0.803
Aug 09 17:56:22 2024,3.105,6.135,0.854,2.846,45.335,27.374,20.939,3.803,0.975
Aug 09 17:56:23 2024,3.264,6.255,0.826,2.673,45.550,27.399,21.040,3.986,0.790
Aug 09 17:56:24 2024,3.567,6.395,0.562,2.870,45.466,27.407,21.068,3.993,0.790
Aug 09 17:56:25 2024,3.351,6.528,0.774,2.898,45.407,27.412,20.848,3.819,0.527
Aug 09 17:56:26 2024,2.929,6.426,0.978,3.008,45.403,27.244,20.943,3.873,0.527
Aug 09 17:56:27 2024,2.859,6.232,1.056,3.141,45.332,27.342,20.805,3.458,0.832
Aug 09 17:56:28 2024,3.015,6.371,0.877,2.887,45.139,27.089,21.015,3.467,0.807
Aug 09 17:56:29 2024,2.851,6.176,1.064,3.018,45.309,27.208,20.937,3.186,0.766
Aug 09 17:56:30 2024,2.845,6.486,1.256,3.059,45.426,27.169,20.756,2.787,0.851
Aug 09 17:56:31 2024,2.696,6.927,1.461,2.803,45.242,27.259,20.865,2.906,0.559
Aug 09 17:56:32 2024,2.541,6.928,1.582,2.873,45.017,27.103,20.750,2.831,0.621
Aug 09 17:56:33 2024,2.777,6.799,1.756,2.951,45.087,27.201,20.748,2.770,0.417
Aug 09 17:56:34 2024,2.491,6.712,1.714,3.098,44.973,27.618,20.384,2.762,0.837
Aug 09 17:56:35 2024,2.314,6.397,1.625,2.881,44.898,27.751,20.347,3.030,0.588
Aug 09 17:56:36 2024,2.314,6.397,1.625,2.881,44.898,27.751,20.347,3.030,0.588
Aug 09 17:56:37 2024,2.062,6.382,1.872,2.588,44.517,27.804,20.908,3.219,0.293
Aug 09 17:56:38 2024,1.975,6.468,1.943,2.978,44.559,27.572,20.828,3.172,0.296
Aug 09 17:56:39 2024,1.859,6.377,2.089,3.292,44.345,27.387,20.908,3.110,0.338
Aug 09 17:56:40 2024,2.307,6.312,1.962,3.108,44.063,27.005,20.966,3.172,0.230
Aug 09 17:56:41 2024,2.364,6.271,2.056,2.999,43.612,27.043,20.977,3.138,0.254
Aug 09 17:56:42 2024,2.591,6.309,1.991,2.848,43.475,26.890,20.845,3.142,0.405
Aug 09 17:56:43 2024,2.304,6.557,1.902,2.722,43.419,27.203,20.968,3.333,0.094
Aug 09 17:56:44 2024,2.287,6.687,1.833,2.911,43.161,27.143,21.222,3.333,0.094
Aug 09 17:56:45 2024,1.988,6.445,1.692,2.734,43.240,27.090,21.372,3.514,0.377
